サロンID,サロン名,オーナー名,"Facebook URL",ユーザーID,ユーザー名,当月決済金額
9,aaaa,namenamename,pajeiaw,1,"panda san",7890
8,karisalon,kari,karikari.com,2,"panda san",FAIL
8,karisalon,kari,karikari.com,3,"panda san",FAIL
6,"a san no. salon",asan,asan.fb.com,4,"panda san",FAIL
12,pandaaaaa,namenamename,pandada.com,5,"panda san",FAIL
12,pandaaaaa,namenamename,pandada.com,6,"panda san",FAIL
12,pandaaaaa,namenamename,pandada.com,7,"panda san",FAIL
12,pandaaaaa,namenamename,pandada.com,8,"panda san",FAIL
12,pandaaaaa,namenamename,pandada.com,9,"panda san",FAIL
8,karisalon,kari,karikari.com,10,"panda san",FAIL
6,"a san no. salon",asan,asan.fb.com,11,"panda san",FAIL
9,aaaa,namenamename,pajeiaw,12,watashi,9999
12,pandaaaaa,namenamename,pandada.com,13,watashi,9999
9,aaaa,namenamename,pajeiaw,14,watashi,100
8,karisalon,kari,karikari.com,15,aaa,9854
9,aaaa,namenamename,pajeiaw,16,aaa,FAIL
12,pandaaaaa,namenamename,pandada.com,17,aaa,FAIL
8,karisalon,kari,karikari.com,18,aaa,FAIL
9,aaaa,namenamename,pajeiaw,19,aaa,FAIL
9,aaaa,namenamename,pajeiaw,20,me,FAIL
12,pandaaaaa,namenamename,pandada.com,21,aaaa,100
9,aaaa,namenamename,pajeiaw,22,test,7890
6,"a san no. salon",asan,asan.fb.com,23,test,9854
13,佐藤の写真サロン,佐藤,sato.shasin.fb.com,24,test,7890
13,佐藤の写真サロン,佐藤,sato.shasin.fb.com,25,watashi,9999
13,佐藤の写真サロン,佐藤,sato.shasin.fb.com,26,test,FAIL
13,佐藤の写真サロン,佐藤,sato.shasin.fb.com,27,aaaa,9854
14,今日も猫山です,猫山ねこ,nekoyama.fb.com,28,aaaa,9999
13,佐藤の写真サロン,佐藤,sato.shasin.fb.com,29,aaaa,FAIL
14,今日も猫山です,猫山ねこ,nekoyama.fb.com,30,aaaa,FAIL
15,小さなサロン,ミニ丸,chiisanasalon.fb.com,31,深海院,9854
15,小さなサロン,ミニ丸,chiisanasalon.fb.com,32,panda,7890
15,小さなサロン,ミニ丸,chiisanasalon.fb.com,33,田中,100
8,karisalon,kari,karikari.com,34,わたし,40000
21,佐藤の写真サロン・進化版,佐藤,sato.shasin-shinka.fb.com,35,わたし,FAIL
21,佐藤の写真サロン・進化版,佐藤,sato.shasin-shinka.fb.com,36,わたし,FAIL
21,佐藤の写真サロン・進化版,佐藤,sato.shasin-shinka.fb.com,37,わたし,FAIL
20,上野のパンダサロン,namenamename,panda.love.fb.com,38,neko,100000
20,上野のパンダサロン,namenamename,panda.love.fb.com,39,佐藤ファン,40000
17,田中のロングサロン,田中,ronguhea.fb.com,40,犬川いぬ,100000
17,田中のロングサロン,田中,ronguhea.fb.com,41,watashi,398
17,田中のロングサロン,田中,ronguhea.fb.com,42,犬山神子,398
16,裏社会サロン,丸山権三,ichigo.cream.fb.com,43,適当さん,398
16,裏社会サロン,丸山権三,ichigo.cream.fb.com,44,jjj,9999
16,裏社会サロン,丸山権三,ichigo.cream.fb.com,45,satosato,569
18,ミニミニサロン3,ミニ丸,minisalon.fb.com,46,kikaikko,569
13,佐藤の写真サロン,佐藤,sato.shasin.fb.com,47,watashi,569
18,ミニミニサロン3,ミニ丸,minisalon.fb.com,48,watashi,831
16,裏社会サロン,丸山権三,ichigo.cream.fb.com,49,watashi,FAIL
16,裏社会サロン,丸山権三,ichigo.cream.fb.com,50,panda,659
16,裏社会サロン,丸山権三,ichigo.cream.fb.com,51,panda,FAIL
16,裏社会サロン,丸山権三,ichigo.cream.fb.com,52,panda,FAIL
16,裏社会サロン,丸山権三,ichigo.cream.fb.com,53,税金代行,50000
16,裏社会サロン,丸山権三,ichigo.cream.fb.com,54,税金代行,FAIL
6,"a san no. salon",asan,asan.fb.com,55,buta,50000
